county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-07,President,,REP,BILL WELD,5,3,0,0,2
PHILADELPHIA,01-07,President,,REP,Donald J. Trump,9,5,0,1,3
PHILADELPHIA,01-07,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-07,President,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,Attorney General,,DEM,JOSH SHAPIRO,116,36,0,11,69
PHILADELPHIA,01-07,Attorney General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,Attorney General,,REP,HEATHER HEIDELBAUGH,10,5,0,1,4
PHILADELPHIA,01-07,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,Auditor General,,DEM,CHRISTINA M HARTMAN,9,1,0,0,8
PHILADELPHIA,01-07,Auditor General,,DEM,H SCOTT CONKLIN,10,6,0,1,3
PHILADELPHIA,01-07,Auditor General,,DEM,MICHAEL LAMB,9,3,0,0,6
PHILADELPHIA,01-07,Auditor General,,DEM,NINA AHMAD,95,32,0,8,55
PHILADELPHIA,01-07,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,1,0,0,0,1
PHILADELPHIA,01-07,Auditor General,,DEM,TRACIE FOUNTAIN,8,2,0,1,5
PHILADELPHIA,01-07,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,Auditor General,,REP,TIMOTHY DEFOOR,10,5,0,1,4
PHILADELPHIA,01-07,Auditor General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,State Treasurer,,DEM,JOE TORSELLA,119,36,0,9,74
PHILADELPHIA,01-07,State Treasurer,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,State Treasurer,,REP,STACY L GARRITY,10,5,0,1,4
PHILADELPHIA,01-07,State Treasurer,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-07,U.S. House,3,DEM,DWIGHT EVANS,126,40,0,11,75
PHILADELPHIA,01-07,U.S. House,3,DEM,Write-ins,2,0,0,0,2
PHILADELPHIA,01-07,U.S. House,3,REP,MICHAEL HARVEY,10,5,0,1,4
PHILADELPHIA,01-07,State Senate,1,DEM,LARRY FARNESE,38,11,0,3,24
PHILADELPHIA,01-07,State Senate,1,DEM,NIKIL SAVAL,108,38,0,10,60
PHILADELPHIA,01-07,General Assembly,184,DEM,ELIZABETH FIEDLER,141,48,0,12,81
PHILADELPHIA,01-07,General Assembly,184,REP,LOU MENNA IV,10,5,0,1,4
PHILADELPHIA,01-08,Registered Voters,,,Registered Voters,608,,,,
PHILADELPHIA,01-08,Registered Voters,,DEM,Registered Voters,457,,,,
PHILADELPHIA,01-08,Registered Voters,,LIB,Registered Voters,4,,,,
PHILADELPHIA,01-08,Registered Voters,,NPA,Registered Voters,88,,,,
