county,precinct,office,district,party,candidate,votes
Box Elder,DEWY,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,DEWY,President,,Democrat,JOSEPH R. BIDEN,8
Box Elder,DEWY,President,,Democrat,BERNIE SANDERS,4
Box Elder,DEWY,President,,Democrat,TOM STEYER,0
Box Elder,DEWY,President,,Democrat,ELIZABETH WARREN,1
Box Elder,DEWY,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,DEWY,President,,Democrat,TULSI GABBARD,0
Box Elder,DEWY,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,DEWY,President,,Democrat,DEVAL PATRICK,0
Box Elder,DEWY,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,DEWY,President,,Republican,ROBERT ARDINI,2
Box Elder,DEWY,President,,Republican,MATTHEW JOHN MATERN,2
Box Elder,DEWY,President,,Republican,BOB ELY,0
Box Elder,DEWY,President,,Republican,JOE WALSH,2
Box Elder,DEWY,President,,Republican,BILL WELD,7
Box Elder,DEWY,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,DEWY,President,,Republican,DONALD J. TRUMP,102
Box Elder,ELWD,President,,Democrat,JULIÁN CASTRO,0
Box Elder,ELWD,President,,Democrat,ANDREW YANG,0
Box Elder,ELWD,President,,Democrat,CORY BOOKER,0
Box Elder,ELWD,President,,Democrat,PETE BUTTIGIEG,6
Box Elder,ELWD,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,ELWD,President,,Democrat,MICHAEL R. BLOOMBERG,9
Box Elder,ELWD,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,1
Box Elder,ELWD,President,,Democrat,JOSEPH R. BIDEN,7
Box Elder,ELWD,President,,Democrat,BERNIE SANDERS,3
Box Elder,ELWD,President,,Democrat,TOM STEYER,0
Box Elder,ELWD,President,,Democrat,ELIZABETH WARREN,5
Box Elder,ELWD,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,ELWD,President,,Democrat,TULSI GABBARD,1
Box Elder,ELWD,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,ELWD,President,,Democrat,DEVAL PATRICK,0
Box Elder,ELWD,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,ELWD,President,,Republican,ROBERT ARDINI,4
