county,precinct,office,district,party,candidate,votes
Utah,AF10:UN,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF10:UN,President,,Republican,ROBERT ARDINI,0
Utah,AF10:UN,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF10:UN,President,,Republican,BOB ELY,0
Utah,AF10:UN,President,,Republican,JOE WALSH,0
Utah,AF10:UN,President,,Republican,BILL WELD,0
Utah,AF10:UN,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF10:UN,President,,Republican,DONALD J. TRUMP,8
Utah,AF10S,President,,Democrat,JULIÁN CASTRO,0
Utah,AF10S,President,,Democrat,ANDREW YANG,0
Utah,AF10S,President,,Democrat,CORY BOOKER,0
Utah,AF10S,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF10S,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF10S,President,,Democrat,MICHAEL R. BLOOMBERG,2
Utah,AF10S,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF10S,President,,Democrat,JOSEPH R. BIDEN,5
Utah,AF10S,President,,Democrat,BERNIE SANDERS,3
Utah,AF10S,President,,Democrat,TOM STEYER,0
Utah,AF10S,President,,Democrat,ELIZABETH WARREN,1
Utah,AF10S,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF10S,President,,Democrat,TULSI GABBARD,0
Utah,AF10S,President,,Democrat,AMY KLOBUCHAR,1
Utah,AF10S,President,,Democrat,DEVAL PATRICK,0
Utah,AF10S,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF10S,President,,Republican,ROBERT ARDINI,0
Utah,AF10S,President,,Republican,MATTHEW JOHN MATERN,1
Utah,AF10S,President,,Republican,BOB ELY,1
Utah,AF10S,President,,Republican,JOE WALSH,1
Utah,AF10S,President,,Republican,BILL WELD,2
Utah,AF10S,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF10S,President,,Republican,DONALD J. TRUMP,23
Utah,AF10S:UN,President,,Democrat,JULIÁN CASTRO,0
Utah,AF10S:UN,President,,Democrat,ANDREW YANG,0
Utah,AF10S:UN,President,,Democrat,CORY BOOKER,0
Utah,AF10S:UN,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF10S:UN,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF10S:UN,President,,Democrat,MICHAEL R. BLOOMBERG,0
Utah,AF10S:UN,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF10S:UN,President,,Democrat,JOSEPH R. BIDEN,0
Utah,AF10S:UN,President,,Democrat,BERNIE SANDERS,0
Utah,AF10S:UN,President,,Democrat,TOM STEYER,0
Utah,AF10S:UN,President,,Democrat,ELIZABETH WARREN,0
Utah,AF10S:UN,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF10S:UN,President,,Democrat,TULSI GABBARD,0
Utah,AF10S:UN,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF10S:UN,President,,Democrat,DEVAL PATRICK,0
Utah,AF10S:UN,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF10S:UN,President,,Republican,ROBERT ARDINI,0
Utah,AF10S:UN,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF10S:UN,President,,Republican,BOB ELY,0
Utah,AF10S:UN,President,,Republican,JOE WALSH,0
Utah,AF10S:UN,President,,Republican,BILL WELD,0
Utah,AF10S:UN,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF10S:UN,President,,Republican,DONALD J. TRUMP,0
Utah,AF11,President,,Democrat,JULIÁN CASTRO,0
Utah,AF11,President,,Democrat,ANDREW YANG,1
Utah,AF11,President,,Democrat,CORY BOOKER,0
Utah,AF11,President,,Democrat,PETE BUTTIGIEG,7
