county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_BARR,gen_wri_BROWN,gen_wri_BYRNE,gen_wri_HARRIS,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,gen_wri_PEROUTKA,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,wri_general_total
Pike,6,639,1,54,4,2,612,4,20,1447,4,4,835,103,733,1,14,1575,6547,0,3,77,0,0,0,0,0,1,0,3161,1322,6547,1575,81
Polk,17,2064,3,188,4,14,1208,16,28,1766,2,10,1369,180,711,1,19,4052,9850,0,5,201,0,0,0,0,0,5,0,4086,3514,9850,4052,211
Pulaski,5,337,3,34,2,4,427,3,4,375,1,1,382,20,187,0,5,1377,2553,0,0,23,0,0,0,0,0,0,0,975,815,2553,1377,23
Putnam,6,827,4,60,2,9,1146,2,27,997,10,2,965,38,702,1,11,3102,5966,0,4,59,0,0,0,0,0,1,0,2753,2056,5966,3102,64
Quitman,0,109,1,11,0,3,239,3,2,54,0,0,71,2,32,0,0,597,509,0,0,8,0,0,0,0,0,0,0,161,366,509,597,8
Rabun,15,963,5,172,5,7,503,13,37,1100,3,5,829,83,511,2,30,2001,5487,0,12,96,0,0,0,0,0,3,0,2600,1683,5487,2001,111
Randolph,6,270,1,20,1,5,732,7,4,166,0,1,175,5,73,1,1,1833,1370,0,0,12,0,0,0,0,0,0,0,426,1042,1370,1833,12
Richmond,40,6101,16,224,15,47,20396,36,90,3285,9,23,5180,493,3921,9,62,52100,26842,0,33,329,2,1,0,4,0,22,0,13072,26875,26842,52100,391
Rockdale,22,2820,10,163,11,10,9217,14,74,3410,14,14,2297,239,2819,2,20,20526,16921,1,16,232,0,0,0,3,0,7,0,8889,12267,16921,20526,259
Schley,1,165,0,17,0,2,157,6,4,192,1,0,185,9,51,2,2,479,1252,0,0,6,0,0,0,0,0,1,0,446,348,1252,479,7
Screven,11,542,2,25,1,8,1138,1,11,419,1,2,667,38,251,0,4,3024,3423,0,0,34,0,0,0,0,0,0,0,1393,1728,3423,3024,34
Seminole,10,416,3,49,1,3,472,7,8,281,1,4,417,52,118,0,3,1660,2315,0,0,21,0,0,0,0,0,0,0,884,961,2315,1660,21
Spalding,17,2051,6,146,5,9,3578,17,53,2763,8,17,2158,367,1602,1,24,10141,14885,0,20,206,0,0,0,0,0,3,0,6993,5829,14885,10141,229
Stephens,13,1187,1,181,3,8,644,2,20,1413,1,5,957,133,570,2,12,2705,7689,0,19,100,0,0,0,0,0,4,0,3113,2039,7689,2705,123
Stewart,4,237,2,13,4,5,462,4,4,77,0,2,132,5,44,0,4,1305,783,0,0,17,0,0,0,0,0,0,0,268,731,783,1305,17
Sumter,12,1001,9,137,7,13,2403,11,19,655,5,4,1020,43,572,1,7,6454,5717,0,0,64,0,0,0,0,0,0,0,2326,3593,5717,6454,64
Talbot,5,314,3,11,1,7,878,4,0,161,0,0,216,13,105,0,3,2369,1301,0,1,25,0,0,0,0,0,4,0,498,1223,1301,2369,30
Taliaferro,1,109,2,6,0,1,252,1,0,42,0,0,37,4,44,0,1,643,339,0,0,8,0,0,0,0,0,0,0,128,372,339,643,8
Tattnall,10,614,4,31,3,5,594,7,4,647,5,3,772,51,250,1,6,1932,4730,0,8,41,0,0,0,1,2,0,0,1739,1268,4730,1932,52
Taylor,5,330,4,22,0,4,557,0,4,369,0,1,283,15,123,1,3,1536,2021,0,0,26,0,0,0,0,0,0,0,799,922,2021,1536,26
Telfair,5,485,5,24,2,7,552,4,2,376,0,0,266,9,114,0,1,1862,2486,0,0,26,0,0,0,0,0,0,0,768,1084,2486,1862,26
Terrell,7,372,3,27,3,7,879,3,13,223,2,4,379,13,126,0,3,2501,1890,0,0,25,0,0,0,0,0,0,0,763,1301,1890,2501,25
Thomas,13,1265,2,111,8,12,2438,12,22,1632,5,5,1889,91,1044,2,21,7720,10642,0,5,87,0,0,0,0,0,5,0,4711,3861,10642,7720,97
Tift,8,1165,7,92,0,3,1302,6,24,1314,2,6,1452,56,921,1,18,4749,9431,0,2,72,0,0,0,0,0,3,0,3794,2583,9431,4749,77
