town,ward,precinct,office,district,party,candidate,votes
Springfield,6,G,President,,Republican,Roque De La Fuente,0
Boston,22,11,President,,Libertarian,Blanks,0
Wakefield,,3,President,,Green-Rainbow,Skcm Curry,1
Woburn,4,1,President,,Libertarian,Total Votes Cast,2
Sutton,,3,President,,Democratic,Deval Patrick,0
Essex,,1,President,,Republican,No Preference,1
Winthrop,,5,President,,Democratic,Amy Klobuchar,14
Springfield,6,A,President,,Democratic,Andrew Yang,0
Springfield,5,C,President,,Green-Rainbow,Total Votes Cast,0
Attleboro,5,B,President,,Libertarian,Kimberly Margaret Ruff,0
Weymouth,,7,President,,Democratic,No Preference,5
Great Barrington,,B,President,,Democratic,All Others,0
Hardwick,,1,President,,Green-Rainbow,All Others,0
Plainville,,3,President,,Green-Rainbow,Total Votes Cast,3
Bellingham,,5,President,,Libertarian,Samuel Joseph Robb,0
Medford,3,1,President,,Republican,All Others,0
Marlborough,6,1,President,,Democratic,Cory Booker,0
Leominster,2,A,President,,Democratic,Bernie Sanders,102
Framingham,,7,President,,Green-Rainbow,Kent Mesplay,0
Natick,,4,President,,Green-Rainbow,No Preference,0
Plymouth,,7,President,,Green-Rainbow,All Others,0
Lawrence,C,1,President,,Republican,Blanks,0
Winchester,,7,President,,Democratic,Michael R. Bloomberg,181
Sandwich,,1,President,,Republican,William F. Weld,31
Wellesley,,E,President,,Republican,Donald J. Trump,72
Eastham,,1,President,,Republican,Roque De La Fuente,1
Charlton,,4,President,,Republican,Blanks,0
Boston,10,2,President,,Republican,Joe Walsh,2
Boston,15,8,President,,Republican,Blanks,0
Holyoke,6,A,President,,Republican,Roque De La Fuente,3
Quincy,6,1,President,,Democratic,Tom Steyer,2
Wilmington,,4,President,,Libertarian,Jacob George Hornberger,0
Middleborough,,2,President,,Republican,No Preference,2
Hingham,,1,President,,Democratic,Michael R. Bloomberg,199
Boston,1,1,President,,Democratic,Marianne Williamson,1
Blackstone,,1,President,,Democratic,Marianne Williamson,0
Attleboro,3,B,President,,Democratic,All Others,0
Swampscott,,4,President,,Libertarian,Samuel Joseph Robb,0
Lakeville,,2,President,,Libertarian,Total Votes Cast,6
Waltham,2,2,President,,Democratic,Total Votes Cast,584
Lowell,3,3,President,,Libertarian,Adam Kokesh,0
Upton,,2,President,,Green-Rainbow,David Rolde,0
Plymouth,,9,President,,Green-Rainbow,All Others,0
Methuen,,10,President,,Green-Rainbow,David Rolde,0
Weymouth,,13,President,,Democratic,Tom Steyer,2
Middleton,,2,President,,Libertarian,Samuel Joseph Robb,0
Dalton,,2,President,,Democratic,Michael R. Bloomberg,58
Lunenburg,,A,President,,Democratic,No Preference,0
Sandwich,,3,President,,Democratic,Bernie Sanders,158
Gardner,5,A,President,,Republican,Total Votes Cast,63
Hudson,,3,President,,Republican,All Others,2
Newton,4,2,President,,Libertarian,Arvin Vohra,0
New Bedford,6,B,President,,Democratic,Tulsi Gabbard,1
Saugus,,3,President,,Democratic,Marianne Williamson,0
Lawrence,D,3,President,,Republican,William F. Weld,0
Boston,14,3,President,,Democratic,Michael R. Bloomberg,17
Brockton,4,A,President,,Republican,Joe Walsh,0
Boston,10,5,President,,Libertarian,Arvin Vohra,1
E. Bridgewater,,1,President,,Democratic,Elizabeth A. Warren,84
New Bedford,6,C,President,,Libertarian,Kimberly Margaret Ruff,0
Weymouth,,14,President,,Green-Rainbow,Howard Hawkins,0
Stow,,2,President,,Democratic,Elizabeth A. Warren,328
Haverhill,3,1,President,,Republican,Donald J. Trump,25
Chelsea,2,1,President,,Green-Rainbow,Total Votes Cast,0
Waltham,7,1,President,,Democratic,Pete Buttigieg,17
Swansea,,3,President,,Democratic,Pete Buttigieg,19
Hadley,,1,President,,Democratic,Michael Bennet,1
Newton,7,4,President,,Libertarian,Adam Kokesh,0
Northampton,6,B,President,,Republican,Total Votes Cast,97
Framingham,,5,President,,Libertarian,Samuel Joseph Robb,0
Springfield,7,B,President,,Democratic,Amy Klobuchar,4
Easthampton,,2,President,,Democratic,Deval Patrick,2
W. Springfield,,4,President,,Democratic,Bernie Sanders,161
Medford,3,2,President,,Libertarian,Kimberly Margaret Ruff,0
New Bedford,3,E,President,,Democratic,Total Votes Cast,400
Amherst,,6,President,,Libertarian,Samuel Joseph Robb,0
Natick,,10,President,,Libertarian,Total Votes Cast,2
Weymouth,,10,President,,Republican,All Others,0
Douglas,,1,President,,Libertarian,Blanks,0
Boxford,,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Wareham,,6,President,,Democratic,Tulsi Gabbard,5
Everett,6,2,President,,Libertarian,Adam Kokesh,0
Bellingham,,5,President,,Democratic,All Others,1
Springfield,6,G,President,,Republican,William F. Weld,2
Salem,1,1,President,,Republican,William F. Weld,24
Concord,,3,President,,Green-Rainbow,Kent Mesplay,0
Hudson,,3,President,,Green-Rainbow,Skcm Curry,0
Arlington,,13,President,,Libertarian,Blanks,0
Monson,,C,President,,Republican,Total Votes Cast,163
Saugus,,1,President,,Democratic,Deval Patrick,3
Montague,,6,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Andover,,6,President,,Libertarian,Jacob George Hornberger,0
Springfield,7,A,President,,Green-Rainbow,No Preference,0
Arlington,,17,President,,Libertarian,Total Votes Cast,1
Peabody,4,3,President,,Libertarian,All Others,0
Boston,10,8,President,,Libertarian,All Others,0
Andover,,5,President,,Democratic,Blanks,2
Westfield,3,A,President,,Green-Rainbow,David Rolde,0
Worcester,10,1,President,,Republican,William F. Weld,5
Leominster,1,C,President,,Green-Rainbow,Howard Hawkins,0
Somerville,5,1,President,,Libertarian,Jacob George Hornberger,0
Andover,,7,President,,Republican,Joe Walsh,1
Duxbury,,3,President,,Republican,Total Votes Cast,128
Brockton,1,D,President,,Democratic,Michael Bennet,0
Lexington,,8,President,,Republican,No Preference,3
Worcester,7,3,President,,Republican,William F. Weld,5
Middleborough,,2,President,,Democratic,Marianne Williamson,0
Boston,22,9,President,,Republican,Roque De La Fuente,0
Dracut,,4,President,,Republican,Total Votes Cast,333
Tewksbury,,4A,President,,Republican,All Others,2
Marshfield,,1,President,,Green-Rainbow,David Rolde,0
Northborough,,2,President,,Libertarian,No Preference,1
Braintree,,4B,President,,Democratic,Bernie Sanders,155
New Bedford,5,F,President,,Green-Rainbow,Blanks,0
Boston,3,3,President,,Republican,All Others,1
Boston,17,3,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,16,3,President,,Libertarian,Jo Jorgensen,1
Athol,,1,President,,Democratic,John K. Delaney,0
Cambridge,3,2A,President,,Libertarian,Vermin Love Supreme,0
Waltham,5,2,President,,Green-Rainbow,Howard Hawkins,0
Leominster,5,B,President,,Green-Rainbow,Blanks,0
Warwick,,1,President,,Libertarian,Kimberly Margaret Ruff,0
Middleborough,,3,President,,Libertarian,Max Abramson,0
Framingham,,8,President,,Democratic,Michael R. Bloomberg,100
Wellesley,,G,President,,Libertarian,Jo Jorgensen,0
Worcester,9,3,President,,Libertarian,Samuel Joseph Robb,0
Bourne,,3,President,,Democratic,"Joseph R. Biden, Jr.",114
Barnstable,,7,President,,Libertarian,Jo Jorgensen,0
Lynn,4,3,President,,Democratic,Michael Bennet,1
Boston,7,10,President,,Green-Rainbow,Kent Mesplay,0
Boston,18,20,President,,Green-Rainbow,Skcm Curry,0
Ludlow,,1,President,,Democratic,All Others,0
Somerville,4,2,President,,Republican,Donald J. Trump,26
Marion,,1,President,,Republican,William F. Weld,50
Framingham,,10,President,,Libertarian,Jo Jorgensen,0
Amesbury,,5,President,,Green-Rainbow,Skcm Curry,1
Fall River,1,B,President,,Libertarian,Samuel Joseph Robb,0
Cambridge,8,2,President,,Democratic,Andrew Yang,0
Boston,18,22,President,,Democratic,Michael R. Bloomberg,46
W. Stockbridge,,1,President,,Democratic,Tom Steyer,1
Lawrence,E,1,President,,Libertarian,Kimberly Margaret Ruff,1
Lowell,1,1,President,,Democratic,Total Votes Cast,359
Springfield,6,D,President,,Green-Rainbow,Dario Hunter,0
Worthington,,1,President,,Green-Rainbow,Dario Hunter,0
Holden,,1,President,,Democratic,Bernie Sanders,222
Webster,,4,President,,Green-Rainbow,No Preference,0
Auburn,,4,President,,Libertarian,Max Abramson,1
Boston,22,9,President,,Green-Rainbow,Total Votes Cast,0
New Bedford,2,E,President,,Democratic,Amy Klobuchar,4
Quincy,3,5,President,,Democratic,Michael R. Bloomberg,35
Barnstable,,10,President,,Democratic,Amy Klobuchar,10
Newbury,,2,President,,Democratic,Blanks,1
Lynnfield,,4,President,,Republican,Blanks,0
Haverhill,7,2,President,,Libertarian,Arvin Vohra,0
Dedham,,1,President,,Libertarian,Jacob George Hornberger,0
Bolton,,1,President,,Green-Rainbow,David Rolde,0
Saugus,,7,President,,Democratic,Tulsi Gabbard,6
Dracut,,3,President,,Libertarian,Max Abramson,1
Arlington,,13,President,,Libertarian,Adam Kokesh,0
New Bedford,6,F,President,,Democratic,Julian Castro,0
Sudbury,,3,President,,Democratic,Marianne Williamson,0
Attleboro,5,B,President,,Libertarian,All Others,1
Duxbury,,3,President,,Democratic,Deval Patrick,1
Arlington,,16,President,,Green-Rainbow,Dario Hunter,0
Lynn,3,3,President,,Democratic,Marianne Williamson,0
Worcester,4,3,President,,Republican,Joe Walsh,0
N. Andover,,4,President,,Democratic,Tom Steyer,2
Holliston,,2,President,,Republican,Total Votes Cast,172
Pittsfield,6,A,President,,Green-Rainbow,Skcm Curry,0
Middleborough,,6,President,,Republican,All Others,0
New Bedford,3,B,President,,Democratic,Julian Castro,0
Chelsea,3,4,President,,Libertarian,Max Abramson,0
Harvard,,1,President,,Libertarian,Jacob George Hornberger,1
Bourne,,5,President,,Green-Rainbow,Dario Hunter,0
Boston,21,8,President,,Democratic,Cory Booker,0
Framingham,,12,President,,Republican,No Preference,2
Randolph,,2,President,,Republican,Roque De La Fuente,0
Fitchburg,1,B,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,18,22,President,,Republican,Roque De La Fuente,0
Adams,,2,President,,Democratic,Elizabeth A. Warren,24
New Bedford,4,F,President,,Libertarian,Samuel Joseph Robb,1
Quincy,2,3A,President,,Libertarian,Arvin Vohra,0
Bolton,,1,President,,Democratic,"Joseph R. Biden, Jr.",561
N. Attleborough,,9,President,,Libertarian,Vermin Love Supreme,1
New Bedford,6,B,President,,Libertarian,Arvin Vohra,0
Lawrence,B,3,President,,Republican,Donald J. Trump,14
Natick,,6,President,,Democratic,Blanks,0
Millbury,,3,President,,Republican,Donald J. Trump,181
Plainfield,,1,President,,Libertarian,All Others,0
E. Longmeadow,,3,President,,Democratic,John K. Delaney,0
Methuen,,12,President,,Republican,Roque De La Fuente,0
Boston,9,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Hanson,,1,President,,Libertarian,Blanks,0
Boston,18,16,President,,Democratic,Elizabeth A. Warren,146
Oxford,,3,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,2,3,President,,Libertarian,All Others,0
Raynham,,4,President,,Democratic,Total Votes Cast,543
Holland,,1,President,,Democratic,No Preference,4
Tewksbury,,3A,President,,Libertarian,Samuel Joseph Robb,0
Springfield,1,A,President,,Green-Rainbow,Blanks,0
Truro,,1,President,,Green-Rainbow,All Others,0
Buckland,,1,President,,Libertarian,Jacob George Hornberger,0
Northampton,4,A,President,,Republican,Blanks,0
Tewksbury,,4,President,,Republican,Donald J. Trump,234
Boston,13,1,President,,Libertarian,Jacob George Hornberger,0
Randolph,,7,President,,Green-Rainbow,No Preference,0
Lynn,1,1,President,,Democratic,Michael Bennet,0
Natick,,5,President,,Democratic,Cory Booker,0
Lowell,9,3,President,,Republican,Total Votes Cast,92
Dedham,,2,President,,Green-Rainbow,Blanks,0
Milford,,8,President,,Green-Rainbow,Kent Mesplay,0
New Bedford,2,C,President,,Libertarian,Kimberly Margaret Ruff,0
Greenfield,,5,President,,Republican,Joe Walsh,2
Boston,17,10,President,,Republican,Donald J. Trump,2
Belchertown,,A,President,,Democratic,Julian Castro,0
Attleboro,1,A,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Manchester-by-the-Sea,,1,President,,Republican,Joe Walsh,3
Belchertown,,A,President,,Libertarian,Kenneth Reed Armstrong,0
Boston,18,5,President,,Green-Rainbow,Howard Hawkins,0
Somerville,4,2,President,,Green-Rainbow,Dario Hunter,0
New Bedford,4,B,President,,Democratic,No Preference,3
Boston,21,15,President,,Democratic,All Others,0
New Bedford,5,B,President,,Democratic,Amy Klobuchar,0
Winchester,,5,President,,Democratic,Michael R. Bloomberg,159
New Bedford,5,C,President,,Democratic,Elizabeth A. Warren,24
Boston,17,7,President,,Libertarian,Samuel Joseph Robb,0
N. Reading,,4,President,,Republican,William F. Weld,28
Framingham,,3,President,,Democratic,Amy Klobuchar,10
Paxton,,1,President,,Libertarian,Jacob George Hornberger,0
Bernardston,,1,President,,Democratic,Julian Castro,0
Aquinnah,,1,President,,Democratic,Michael Bennet,0
Watertown,,2,President,,Green-Rainbow,All Others,0
Hingham,,4,President,,Green-Rainbow,David Rolde,0
Wareham,,6,President,,Democratic,Michael R. Bloomberg,59
Middleborough,,2,President,,Republican,All Others,3
Boston,8,3,President,,Democratic,Tom Steyer,0
Brockton,6,D,President,,Democratic,Amy Klobuchar,4
Dartmouth,,1,President,,Libertarian,Max Abramson,0
Quincy,6,2,President,,Libertarian,Max Abramson,0
Plymouth,,14,President,,Democratic,Marianne Williamson,0
Somerville,7,1,President,,Democratic,No Preference,0
Boston,8,4,President,,Republican,Donald J. Trump,2
Leominster,5,C,President,,Democratic,Michael Bennet,0
Boston,15,2,President,,Libertarian,Blanks,0
Sandwich,,2,President,,Democratic,John K. Delaney,0
Carlisle,,1,President,,Republican,All Others,0
Maynard,,3,President,,Libertarian,All Others,0
Springfield,8,G,President,,Libertarian,Adam Kokesh,1
Southborough,,3,President,,Libertarian,Vermin Love Supreme,2
Peabody,2,2,President,,Democratic,Michael R. Bloomberg,48
Springfield,7,C,President,,Democratic,Pete Buttigieg,6
W. Springfield,,5,President,,Libertarian,Jo Jorgensen,0
Lynn,3,4,President,,Republican,Blanks,0
Boston,4,1,President,,Libertarian,Vermin Love Supreme,0
Peabody,5,3,President,,Democratic,Andrew Yang,1
Boston,12,9,President,,Democratic,Pete Buttigieg,2
Everett,3,2,President,,Democratic,Deval Patrick,9
Weston,,3,President,,Democratic,Marianne Williamson,0
New Bedford,2,E,President,,Republican,Joe Walsh,0
Bedford,,1,President,,Libertarian,Kenneth Reed Armstrong,0
Palmer,,3,President,,Libertarian,Vermin Love Supreme,0
Swansea,,4,President,,Republican,No Preference,5
Springfield,4,F,President,,Democratic,Andrew Yang,0
Wilbraham,,C,President,,Democratic,Pete Buttigieg,17
Lawrence,E,1,President,,Republican,Blanks,4
Acton,,6,President,,Democratic,Tulsi Gabbard,5
Northfield,,1,President,,Democratic,Total Votes Cast,781
Dartmouth,,1,President,,Green-Rainbow,No Preference,0
Boston,20,11,President,,Democratic,Deval Patrick,0
Medford,1,1,President,,Democratic,Tom Steyer,3
Springfield,5,C,President,,Republican,Roque De La Fuente,0
Boston,13,10,President,,Republican,No Preference,0
Attleboro,5,B,President,,Democratic,All Others,1
TOTALS,,,President,,Green-Rainbow,Dario Hunter,224
S. Hadley,,D,President,,Green-Rainbow,Skcm Curry,0
Chicopee,4,A,President,,Democratic,Elizabeth A. Warren,50
Southbridge,,1,President,,Democratic,Michael Bennet,1
Yarmouth,,2,President,,Democratic,Andrew Yang,1
Worcester,3,3,President,,Republican,All Others,0
Arlington,,15,President,,Republican,Roque De La Fuente,0
Peabody,1,2,President,,Libertarian,Jo Jorgensen,0
New Bedford,1,A,President,,Democratic,Tom Steyer,1
Milford,,6,President,,Democratic,Cory Booker,2
Palmer,,3,President,,Republican,Joe Walsh,1
W. Brookfield,,1,President,,Green-Rainbow,David Rolde,0
Easthampton,,3,President,,Democratic,Marianne Williamson,1
Webster,,3,President,,Libertarian,Vermin Love Supreme,0
Spencer,,3,President,,Democratic,Marianne Williamson,1
Brockton,2,D,President,,Libertarian,No Preference,1
Lunenburg,,C,President,,Libertarian,Jo Jorgensen,0
Watertown,,7,President,,Green-Rainbow,Blanks,0
Ware,,C,President,,Republican,Total Votes Cast,176
Springfield,2,E,President,,Democratic,Cory Booker,0
Millbury,,2,President,,Libertarian,Blanks,0
Walpole,,1,President,,Republican,Blanks,0
Westfield,6,A,President,,Democratic,Amy Klobuchar,6
Medford,5,1,President,,Libertarian,Jo Jorgensen,0
Boston,20,14,President,,Democratic,Marianne Williamson,0
Lawrence,C,1,President,,Democratic,Tom Steyer,0
New Bedford,5,A,President,,Democratic,All Others,1
Worcester,3,2,President,,Democratic,Amy Klobuchar,1
Weymouth,,9,President,,Libertarian,Arvin Vohra,1
N. Adams,1,1,President,,Democratic,Blanks,3
Springfield,5,D,President,,Libertarian,Jacob George Hornberger,0
Stoughton,,3,President,,Libertarian,Jacob George Hornberger,0
Scituate,,4,President,,Democratic,Michael R. Bloomberg,138
Sterling,,2,President,,Republican,Roque De La Fuente,0
Watertown,,5,President,,Green-Rainbow,Dario Hunter,0
Sharon,,2,President,,Green-Rainbow,Dario Hunter,0
Southborough,,2,President,,Green-Rainbow,Skcm Curry,0
Boston,21,12,President,,Democratic,Blanks,2
E. Bridgewater,,1,President,,Republican,Total Votes Cast,248
Boston,1,3,President,,Green-Rainbow,David Rolde,0
Yarmouth,,6,President,,Green-Rainbow,Dario Hunter,0
Boston,4,7,President,,Republican,Joe Walsh,4
Quincy,4,5,President,,Libertarian,Jo Jorgensen,0
Watertown,,2,President,,Libertarian,Samuel Joseph Robb,0
Chelmsford,,8,President,,Republican,Total Votes Cast,229
Halifax,,2,President,,Libertarian,Max Abramson,1
Randolph,,3,President,,Green-Rainbow,All Others,0
Easton,,3,President,,Democratic,Deval Patrick,1
Taunton,1,A,President,,Democratic,Total Votes Cast,385
Taunton,6,A,President,,Democratic,Total Votes Cast,293
Amherst,,7,President,,Green-Rainbow,No Preference,0
Brockton,6,B,President,,Libertarian,Max Abramson,0
Belchertown,,B,President,,Democratic,Marianne Williamson,0
Boston,17,5,President,,Libertarian,Max Abramson,0
Spencer,,3,President,,Libertarian,All Others,0
Sterling,,1,President,,Republican,Total Votes Cast,239
Salem,7,2,President,,Libertarian,Jacob George Hornberger,0
Scituate,,6,President,,Democratic,Amy Klobuchar,13
Boston,14,13,President,,Libertarian,Max Abramson,0
Boston,15,2,President,,Libertarian,Adam Kokesh,0
W. Springfield,,7,President,,Republican,Roque De La Fuente,1
Malden,3,2,President,,Democratic,Blanks,1
Hanson,,3,President,,Libertarian,No Preference,0
Framingham,,6,President,,Libertarian,Jacob George Hornberger,0
Cambridge,3,3,President,,Republican,Joe Walsh,0
Boston,16,7,President,,Republican,William F. Weld,3
N. Andover,,3,President,,Libertarian,No Preference,0
Boston,5,2,President,,Green-Rainbow,Total Votes Cast,0
Boston,18,2,President,,Libertarian,Adam Kokesh,0
Somerset,,2,President,,Democratic,Andrew Yang,2
Framingham,,16,President,,Libertarian,Dan Taxation Is Theft Behrman,0
