town,ward,precinct,office,district,party,candidate,votes
Longmeadow,,C,President,,Green-Rainbow,Dario Hunter,0
Boston,19,1,President,,Libertarian,No Preference,0
Lawrence,D,3,President,,Green-Rainbow,Dario Hunter,0
Fall River,5,B,President,,Libertarian,Total Votes Cast,2
Marlborough,7,1,President,,Democratic,Michael R. Bloomberg,66
Revere,1,1,President,,Democratic,Amy Klobuchar,2
Hingham,,1,President,,Democratic,Deval Patrick,2
Hudson,,6,President,,Green-Rainbow,Blanks,0
Lowell,6,1,President,,Libertarian,Kenneth Reed Armstrong,0
Northbridge,,3,President,,Democratic,Michael Bennet,0
Haverhill,7,3,President,,Republican,All Others,1
Westford,,1,President,,Libertarian,Vermin Love Supreme,0
Methuen,,11,President,,Republican,Blanks,2
Boston,16,9,President,,Republican,Joe Walsh,0
Chelsea,4,2,President,,Democratic,John K. Delaney,1
Marlborough,1,2,President,,Republican,Donald J. Trump,143
Worcester,1,5,President,,Libertarian,Adam Kokesh,0
Boston,16,3,President,,Green-Rainbow,Blanks,0
Boston,20,11,President,,Republican,Joe Walsh,1
Holland,,1,President,,Libertarian,Adam Kokesh,0
Easthampton,,2,President,,Republican,Joe Walsh,1
Spencer,,1,President,,Republican,Roque De La Fuente,0
E. Longmeadow,,4,President,,Democratic,Marianne Williamson,0
Needham,,F,President,,Green-Rainbow,Blanks,0
Reading,,8,President,,Democratic,Michael R. Bloomberg,161
Westport,,A,President,,Democratic,Tulsi Gabbard,6
Boston,8,3,President,,Republican,Blanks,0
Lynn,2,2,President,,Democratic,No Preference,0
Warwick,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Peabody,1,2,President,,Democratic,Blanks,0
Saugus,,9,President,,Democratic,John K. Delaney,1
Shrewsbury,,5,President,,Republican,Donald J. Trump,104
Boston,5,9,President,,Green-Rainbow,Dario Hunter,0
Barre,,2,President,,Democratic,Total Votes Cast,410
W. Newbury,,1,President,,Democratic,Blanks,0
Belmont,,8,President,,Green-Rainbow,No Preference,0
Palmer,,3,President,,Green-Rainbow,Kent Mesplay,0
Auburn,,5,President,,Democratic,Blanks,1
Cambridge,10,3,President,,Republican,Blanks,0
New Bedford,4,B,President,,Democratic,Total Votes Cast,349
Danvers,,8,President,,Republican,Blanks,1
Shrewsbury,,2,President,,Green-Rainbow,Total Votes Cast,1
Boston,21,16,President,,Democratic,Julian Castro,0
Boston,21,16,President,,Libertarian,Kenneth Reed Armstrong,0
Maynard,,1,President,,Democratic,"Joseph R. Biden, Jr.",265
Brockton,2,B,President,,Libertarian,Arvin Vohra,0
Mansfield,,6,President,,Democratic,Deval Patrick,3
Arlington,,11,President,,Democratic,Bernie Sanders,184
Monterey,,1,President,,Democratic,Elizabeth A. Warren,70
Ware,,C,President,,Democratic,Michael R. Bloomberg,50
Fitchburg,3,A,President,,Republican,Roque De La Fuente,0
Sudbury,,5,President,,Democratic,Tulsi Gabbard,0
Chicopee,6,BW,President,,Libertarian,Adam Kokesh,0
New Ashford,,1,President,,Libertarian,Total Votes Cast,0
Montague,,5,President,,Libertarian,Kimberly Margaret Ruff,0
Winchendon,,1,President,,Green-Rainbow,Blanks,0
Woburn,3,2,President,,Libertarian,Jo Jorgensen,0
W. Newbury,,1,President,,Libertarian,Jo Jorgensen,0
Raynham,,4,President,,Green-Rainbow,Total Votes Cast,1
Springfield,8,A,President,,Green-Rainbow,All Others,0
Boston,9,2,President,,Democratic,Michael Bennet,2
Foxborough,,5,President,,Green-Rainbow,All Others,0
Marlborough,6,1,President,,Republican,Roque De La Fuente,1
Boston,7,2,President,,Democratic,Tom Steyer,0
Rockland,,4,President,,Libertarian,Arvin Vohra,0
Boston,19,1,President,,Libertarian,Kimberly Margaret Ruff,0
Carver,,3,President,,Democratic,Tom Steyer,9
Taunton,1,A,President,,Democratic,Michael Bennet,0
Palmer,,4,President,,Green-Rainbow,Kent Mesplay,0
Leominster,3,C,President,,Republican,Donald J. Trump,119
Brockton,3,B,President,,Libertarian,Samuel Joseph Robb,1
Raynham,,2,President,,Green-Rainbow,David Rolde,0
Boston,1,5,President,,Green-Rainbow,All Others,0
Maynard,,1,President,,Democratic,Michael Bennet,1
Greenfield,,9,President,,Republican,Roque De La Fuente,1
Northfield,,1,President,,Libertarian,Max Abramson,0
Cambridge,9,1,President,,Libertarian,Max Abramson,0
Franklin,,5,President,,Democratic,Marianne Williamson,0
Hamilton,,1,President,,Democratic,Amy Klobuchar,8
Cambridge,8,2,President,,Republican,Donald J. Trump,4
Boston,11,3,President,,Libertarian,Adam Kokesh,0
Dedham,,6,President,,Democratic,Michael Bennet,1
