precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
COLUMBIAMARVIN METHODIST CHURCH,94,2,51,1,2,41,0,139,0,0,1,21,0,3,91,0,173,388,49,770,148,471,388,770
COLUMBIAMTZ COL FIRE DEPT #4,98,1,54,2,3,42,0,146,0,0,1,5,0,0,72,0,170,415,61,729,155,439,415,729
COLUMBIAMTZ COL FIRE HDQTR,51,0,33,1,0,19,0,89,1,0,1,4,0,0,54,0,111,269,32,491,85,279,269,491
COLUMBIANAN,4806,23,2338,24,112,2126,26,8051,16,8,37,1134,1,54,5751,8,9181,18887,2270,43085,7191,26505,18887,43085
COLUMBIAPATRIOTS PARK,210,2,110,0,3,98,0,305,1,0,1,28,0,4,231,0,320,1079,150,1753,322,991,1079,1753
COLUMBIAPHILADELPHIA CHURCH,112,1,37,0,0,39,1,160,2,0,0,13,0,3,91,0,116,429,68,750,150,425,429,750
COLUMBIAREDEEMER CHURCH,214,1,65,0,4,90,2,356,0,0,1,54,0,3,275,2,372,783,98,1911,280,1159,783,1911
COLUMBIARIVERSIDE ELEMENTARY,77,1,45,0,0,27,1,137,0,0,1,20,0,2,132,0,99,267,28,624,123,419,267,624
COLUMBIASECOND MT CARMEL BAPT CHURCH,129,0,12,0,0,5,0,33,0,0,0,4,0,0,16,0,27,286,4,188,141,85,286,188
COLUMBIASTEVENS CREEK CHURCH,123,0,76,0,2,65,1,267,1,0,1,63,0,1,302,0,300,523,45,1348,199,1003,523,1348
