precinct_code,gen_dem_CLINTON,gen_ind_CLINTON,gen_ind_JOHNSON,gen_ind_STEIN,gen_ind_TRUMP,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_ind_CLINTON,pri_ind_CRUZ,pri_ind_KASICH,pri_ind_SANDERS,pri_ind_TRUMP,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Linn-4104335,304.0,0.0,61.0,26.0,0.0,805.0,98.0,152.0,0.0,0.0,0.0,0.0,0.0,49.0,33.0,188.0,1196.0,270.0,250.0
Linn-4104336,289.0,0.0,50.0,29.0,0.0,563.0,95.0,105.0,0.0,0.0,0.0,0.0,0.0,48.0,23.0,122.0,931.0,193.0,200.0
Linn-4104337,275.0,0.0,60.0,21.0,0.0,435.0,75.0,106.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,116.0,791.0,167.0,181.0
Linn-4104338,277.0,0.0,56.0,28.0,0.0,479.0,70.0,115.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,89.0,840.0,136.0,185.0
Linn-4104339,212.0,0.0,36.0,22.0,0.0,294.0,70.0,90.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,71.0,564.0,115.0,160.0
Linn-4104341,176.0,0.0,43.0,11.0,0.0,280.0,42.0,64.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,61.0,510.0,97.0,106.0
Linn-4104342,103.0,0.0,32.0,10.0,0.0,427.0,34.0,51.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,101.0,572.0,158.0,85.0
Linn-4104343,179.0,0.0,41.0,15.0,0.0,424.0,51.0,65.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,110.0,659.0,142.0,116.0
Linn-4104344,383.0,0.0,32.0,25.0,0.0,366.0,103.0,150.0,0.0,0.0,0.0,0.0,0.0,38.0,29.0,115.0,806.0,182.0,253.0
Linn-4104345,159.0,0.0,31.0,10.0,0.0,491.0,45.0,69.0,0.0,0.0,0.0,0.0,0.0,53.0,22.0,128.0,691.0,203.0,114.0
Linn-4104346,223.0,0.0,37.0,20.0,0.0,635.0,77.0,94.0,0.0,0.0,0.0,0.0,0.0,53.0,22.0,170.0,915.0,245.0,171.0
Linn-4104347,90.0,0.0,10.0,5.0,0.0,148.0,36.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,37.0,253.0,58.0,63.0
Linn-4104348,389.0,0.0,27.0,30.0,0.0,409.0,152.0,121.0,0.0,0.0,0.0,0.0,0.0,58.0,31.0,158.0,855.0,247.0,273.0
Linn-4104349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
