precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
59ELKLAND,69,1,58,4,0,28,30,3,111,5,188,3,30,410,128,176,188,410
59FARMINGTON,33,0,17,1,2,19,16,0,99,1,70,0,6,242,50,137,70,242
59GAINES,25,2,31,1,2,16,7,1,117,0,61,2,5,238,58,144,61,238
59HAMILTON,12,0,12,4,0,11,6,0,58,1,41,1,2,157,24,79,41,157
59JACKSON,34,1,55,4,3,93,46,3,220,3,172,8,34,679,90,369,172,679
59KNOXVILLE,24,0,26,3,0,14,11,3,57,1,65,1,9,173,50,88,65,173
59LAWRENCE,34,1,31,1,6,46,48,1,173,2,119,2,12,561,66,275,119,561
59LAWRENCEVILLE,12,1,17,1,0,16,9,4,55,4,46,7,12,164,30,85,46,164
59LIBERTY,22,1,33,3,4,97,44,2,164,3,85,3,12,504,56,314,85,504
59MANSFIELD,80,2,151,2,3,73,68,3,117,7,436,15,41,442,233,266,436,442
59MIDDLEBURY,18,0,32,1,3,85,39,3,190,8,81,2,19,530,50,321,81,530
59MORRIS,18,0,16,4,4,39,28,1,80,3,37,1,7,261,34,156,37,261
59NELSON,17,0,18,2,1,23,10,1,55,2,44,0,15,155,35,92,44,155
59OSCEOLA,21,1,15,1,1,23,7,0,55,3,48,2,3,213,37,87,48,213
59PUTNAM,8,0,15,0,2,23,10,1,51,1,29,0,2,144,23,87,29,144
59RICHMOND,52,0,75,3,7,89,82,4,269,3,245,5,26,803,127,454,245,803
59ROSEVILLE,4,0,6,0,0,5,6,0,25,0,12,0,4,57,10,36,12,57
59RUTLAND,13,1,35,0,2,61,15,0,113,1,64,4,10,332,49,191,64,332
59SHIPPENA(CONG5),6,1,14,0,0,24,8,0,51,1,21,3,4,139,21,83,21,139
59SHIPPENB(CONG10),3,0,4,0,0,7,4,0,19,0,14,0,0,57,7,30,14,57
59SULLIVAN,31,1,45,0,0,79,28,5,198,7,119,3,24,571,77,310,119,571
59TIOGA,26,1,43,1,3,38,36,5,210,2,110,4,27,532,70,293,110,532
59WELLSBORO1,56,2,67,8,9,69,68,4,173,3,209,6,25,495,125,331,209,495
59WELLSBORO2,67,2,70,4,9,73,80,2,215,10,270,10,30,524,139,383,270,524
59WESTFIELD,55,0,41,2,5,71,42,0,181,9,141,2,19,568,96,301,141,568
5BEDFORD1,78,3,63,5,13,145,51,2,354,6,209,8,7,1001,144,570,209,1001
5BEDFORD2,105,5,91,7,10,159,67,3,400,1,248,6,17,1053,201,646,248,1053
5BEDFORDEAST,61,1,65,3,6,79,60,2,195,2,206,6,15,510,127,345,206,510
5BEDFORDWEST,59,1,60,4,7,97,51,1,204,4,187,7,14,586,120,364,187,586
5BLOOMFIELD,19,3,24,1,2,65,16,0,156,3,55,2,6,446,46,240,55,446
5BROADTOP1,59,2,59,0,2,32,9,1,130,3,114,3,4,423,120,174,114,423
5COALDALE,8,1,9,0,0,5,3,0,9,0,12,0,1,45,18,17,12,45
5COLERAIN,41,2,32,0,6,74,23,2,187,1,104,0,4,491,75,292,104,491
5CUMBERLANDVALLEY,45,0,61,2,5,84,22,2,222,0,127,2,6,686,106,337,127,686
5EASTPROVIDENCE,26,0,29,4,7,101,39,7,265,1,87,2,10,720,55,423,87,720
5EASTST.CLAIR,73,1,91,5,22,165,53,7,342,6,234,7,20,1219,165,594,234,1219
5EVERETT,36,0,40,4,8,49,27,4,172,4,108,2,12,520,76,264,108,520
5HARRISON,33,2,36,1,3,90,29,0,113,3,82,4,5,407,71,236,82,407
5HOPEWELL,65,1,58,1,8,72,33,1,279,1,160,4,9,872,124,394,160,872
5HYNDMAN,28,4,18,1,2,35,13,1,121,0,55,2,4,354,50,173,55,354
5JUNIATA,30,2,40,0,5,55,24,2,110,0,77,3,4,400,72,196,77,400
5KIMMEL,69,3,60,1,2,72,22,2,163,3,130,6,3,634,132,262,130,634
5KING,21,3,32,3,1,56,22,1,145,2,60,0,8,524,56,228,60,524
5LIBERTY,67,8,61,0,3,53,25,0,173,1,158,7,8,561,136,254,158,561
5LINCOLN,11,2,12,1,1,37,3,0,68,0,20,1,1,198,25,110,20,198
5LONDONDERRY,48,3,43,4,6,90,24,0,266,3,103,0,7,769,94,390,103,769
5MANN,14,0,17,1,2,14,3,1,84,0,36,2,4,236,31,105,36,236
5MANNSCHOICE,12,1,16,0,0,9,1,1,20,0,37,4,5,91,29,31,37,91
5MONROE,33,1,24,3,5,60,27,0,178,3,65,2,4,569,58,273,65,569
5NAPIER,60,3,68,2,9,123,61,2,343,0,138,1,7,1002,131,540,138,1002
5NEWPARIS,4,0,6,1,0,7,1,0,15,1,12,0,1,65,10,24,12,65
5PAVIA,4,0,6,1,0,12,10,0,35,0,17,3,1,116,10,58,17,116
5PLEASANTVILLE,4,1,3,0,0,17,1,1,32,2,14,0,1,77,8,51,14,77
5RAINSBURG,1,1,3,0,1,7,3,0,8,0,5,0,0,52,5,19,5,52
5SAXTON,20,1,16,0,1,9,16,1,54,0,49,1,3,181,37,81,49,181
5SCHELLSBURG,4,0,8,0,0,19,3,1,45,0,32,1,3,112,12,68,32,112
5SNAKESPRING,72,0,44,4,6,105,59,6,275,4,196,4,19,730,116,455,196,730
5SOUTHAMPTON,16,1,17,1,1,33,10,1,150,2,47,2,2,386,34,196,47,386
5SOUTHWOODBURY,29,2,38,1,14,105,26,2,325,4,86,4,8,892,69,473,86,892
5ST.CLAIRSVILLE,2,0,1,0,0,2,2,0,6,1,6,0,1,34,3,10,6,34
5WESTPROVIDENCE,74,2,56,8,16,180,72,8,509,9,189,4,22,1273,132,793,189,1273
5WESTST.CLAIR,33,2,51,3,5,137,21,4,240,7,108,1,6,761,86,410,108,761
5WOODBURY,24,1,29,0,5,110,31,0,184,1,72,1,8,556,54,330,72,556
60BUFFALO1,81,1,69,0,9,172,68,2,255,1,262,6,28,790,151,506,262,790
60BUFFALO2,18,0,22,2,5,47,32,1,85,1,68,0,9,301,40,172,68,301
60EASTBUFFALO1,135,1,121,2,1,104,69,4,151,3,500,6,39,499,257,331,500,499
60EASTBUFFALO2,223,0,128,2,3,95,81,3,167,3,619,11,27,467,351,351,619,467
60EASTBUFFALO3,140,1,110,1,1,89,73,2,156,3,487,12,14,449,251,322,487,449
60EASTBUFFALO4,48,0,74,0,1,31,28,0,47,1,402,8,17,190,122,107,402,190
60GREGG,24,0,25,2,0,47,19,0,113,4,75,5,15,289,49,181,75,289
60HARTLETON,2,0,2,2,3,10,5,0,36,1,12,0,2,86,4,56,12,86
60HARTLEY,36,0,35,0,6,71,22,3,201,3,108,2,13,580,71,303,108,580
60KELLY1,145,1,90,3,7,129,82,0,240,2,424,11,29,687,236,461,424,687
60KELLY2,31,0,30,1,1,43,25,1,60,3,123,0,16,204,61,131,123,204
60LEWIS,10,0,19,2,0,68,26,0,110,5,65,3,9,378,29,206,65,378
60LEWISBURG1,91,0,99,1,0,15,16,0,30,2,277,10,16,111,190,62,277,111
60LEWISBURG2,76,1,96,2,3,24,25,2,37,1,288,9,16,116,173,93,288,116
60LEWISBURG3,43,0,108,0,1,18,24,1,26,0,626,9,35,153,151,70,626,153
60LEWISBURG4,77,1,78,0,3,63,51,0,93,1,290,2,13,286,156,210,290,286
60LIMESTONE,43,0,48,3,5,122,51,2,175,4,146,5,13,550,91,358,146,550
60MIFFLINBURGEAST,55,2,63,2,8,119,47,1,195,3,226,10,25,607,120,372,226,607
60MIFFLINBURGWEST,34,1,46,5,5,76,49,5,136,8,170,6,18,491,81,276,170,491
60NEWBERLIN,34,0,30,3,5,44,26,2,92,4,100,1,15,273,64,172,100,273
60UNION,79,1,87,1,7,105,58,1,189,3,274,9,14,560,167,361,274,560
60UNIONINDEPENDENT,4,0,6,0,0,6,1,0,10,0,19,0,1,35,10,17,19,35
60WESTBUFFALO,57,2,55,3,6,193,66,2,303,10,201,7,16,969,114,573,201,969
60WHITEDEER1,41,1,44,1,4,91,27,0,160,4,108,5,14,479,86,283,108,479
60WHITEDEER2,33,0,40,3,4,76,23,3,162,2,129,1,11,475,73,271,129,475
60WHITEDEER3,31,2,31,1,3,50,15,1,115,1,87,2,14,353,64,185,87,353
60WHITEDEER4,35,0,23,0,2,45,11,2,77,0,94,3,11,244,58,137,94,244
61,80,1,104,1,2,51,24,1,116,4,259,10,20,415,185,195,259,415
61ALLEGHENY,6,0,6,0,0,24,6,0,36,1,26,1,6,104,12,66,26,104
61BARKEYVILLE,13,1,14,0,0,3,4,0,19,2,31,2,6,70,28,26,31,70
61CANAL,40,3,22,0,0,71,28,1,91,3,97,6,13,322,65,191,97,322
61CHERRYTREE,43,1,61,2,5,81,21,0,169,4,173,4,18,514,105,278,173,514
61CLINTON,21,2,14,1,2,29,9,1,95,1,61,2,10,261,37,137,61,261
61CLINTONVILLE,4,1,10,0,4,13,8,0,52,0,34,1,1,147,15,77,34,147
61COOPERSTOWN,15,1,20,1,0,27,4,1,58,2,40,3,3,163,36,91,40,163
61CORNPLANTER1,102,1,67,4,8,77,60,3,181,7,276,3,25,539,170,333,276,539
61CORNPLANTER2,20,2,37,0,3,18,23,1,75,0,97,2,14,212,59,120,97,212
61CRANBERRY1,32,6,50,3,3,118,44,1,158,6,156,7,16,572,88,327,156,572
61CRANBERRY2,68,3,72,2,1,96,37,0,185,11,186,4,26,620,143,321,186,620
61CRANBERRY3,40,0,34,1,1,36,33,1,97,1,118,2,16,296,74,169,118,296
61CRANBERRY4,78,1,75,4,4,123,82,2,243,1,273,3,26,752,154,458,273,752
61EMLENTON,22,2,36,3,2,17,38,0,57,2,107,2,12,201,60,117,107,201
61FRANKLIN1,101,2,95,0,3,76,58,1,155,5,352,12,31,483,198,293,352,483
61FRANKLIN2,93,4,100,2,5,120,95,0,169,6,350,3,44,608,197,391,350,608
61FRANKLIN3,59,2,81,1,4,62,32,2,106,3,197,7,25,412,142,207,197,412
61FRENCHCREEK,76,6,62,4,3,72,39,1,155,2,194,3,23,531,144,274,194,531
61IRWIN,27,1,46,0,0,54,20,0,164,3,101,2,13,485,74,238,101,485
61JACKSON,26,1,17,0,6,64,16,0,108,0,73,0,13,379,44,194,73,379
61MINERAL,21,1,26,0,1,24,13,0,53,2,56,1,6,192,48,91,56,192
61OAKLAND,51,1,55,0,2,99,34,1,180,3,155,2,29,587,107,316,155,587
61OILCITY1,98,2,65,4,6,48,49,2,152,4,253,4,22,445,165,261,253,445
61OILCITY2,46,0,39,0,2,24,25,1,69,3,162,5,19,262,85,121,162,262
61OILCITY3,78,3,75,6,1,44,23,1,84,8,225,5,24,325,156,159,225,325
61OILCITY4,46,2,50,1,2,41,25,4,74,4,182,12,20,275,98,147,182,275
61OILCITY5,63,1,51,4,2,50,44,4,94,1,181,2,16,303,115,198,181,303
61OILCITY6,61,1,67,2,1,48,30,0,112,1,234,3,17,324,129,193,234,324
61OILCITY7,58,2,65,1,3,33,18,0,75,3,178,1,14,239,125,130,178,239
61OILCREEK,29,1,28,1,1,43,23,0,85,5,79,0,4,302,58,153,79,302
61PINEGROVE,36,3,44,4,1,71,31,0,157,4,113,5,19,498,83,264,113,498
61PLEASANTVILLE,33,1,31,2,1,41,20,0,91,1,88,3,4,286,65,155,88,286
61PLUM,30,8,35,1,2,79,29,2,89,3,93,2,18,325,73,202,93,325
61POLK,13,4,28,1,0,5,7,3,40,3,53,1,12,135,45,56,53,135
61PRESIDENT,33,1,35,0,1,29,14,1,70,4,82,0,9,211,69,115,82,211
61RICHLAND,14,5,23,0,2,52,29,1,88,1,53,0,12,307,42,172,53,307
61ROCKLAND1,35,1,62,0,3,47,39,0,150,3,129,2,21,411,98,239,129,411
61ROCKLAND2,6,0,10,0,1,13,4,1,40,0,20,0,6,101,16,59,20,101
61ROUSEVILLE,24,1,25,1,2,18,8,0,36,1,53,7,4,141,50,65,53,141
61SANDYCREEK,107,5,94,3,9,126,86,1,213,7,291,4,33,728,206,438,291,728
61SCRUBGRASS,32,0,23,1,2,27,11,0,97,3,82,3,6,264,55,138,82,264
61SUGARCREEK1,37,1,44,1,2,32,25,0,70,2,106,4,13,259,82,130,106,259
61SUGARCREEK2,34,0,30,2,6,31,12,0,68,1,86,2,12,243,64,119,86,243
61SUGARCREEK3,46,2,47,3,6,30,21,0,117,2,121,4,18,317,95,177,121,317
61SUGARCREEK4,43,1,54,2,4,35,18,1,81,3,112,5,17,261,98,141,112,261
61SUGARCREEK5,43,2,39,2,2,80,28,1,127,4,130,1,9,418,84,240,130,418
61UTICA,8,4,12,0,0,14,5,0,11,0,18,2,0,62,24,30,18,62
61VICTORY,9,1,11,0,0,24,6,0,38,0,32,0,8,129,21,68,32,129
62BEARLAKE,3,0,3,1,1,7,3,1,17,2,10,1,2,53,6,30,10,53
62BROKENSTRAW,73,2,62,1,8,74,36,0,148,4,203,6,25,523,137,267,203,523
62CHERRYGROVE,12,0,8,0,1,15,2,0,25,3,18,1,1,70,20,43,18,70
62CLARENDON,13,0,14,0,1,6,7,0,46,1,41,0,4,113,27,60,41,113
62COLUMBUS,72,2,70,2,8,70,42,2,150,14,195,5,14,532,144,274,195,532
62CONEWANGO1,102,1,100,5,5,92,65,3,206,9,320,5,29,611,203,376,320,611
62CONEWANGO2,59,0,47,3,3,48,37,0,148,3,164,3,26,466,106,239,164,466
62DEERFIELD,20,2,15,0,0,7,9,0,34,1,56,2,3,87,37,50,56,87
62ELDRED,15,1,12,0,1,46,21,1,42,1,49,0,6,214,28,111,49,214
62ELK,23,4,19,0,0,33,26,0,72,1,54,1,4,247,46,131,54,247
62FARMINGTON,38,3,44,3,6,66,42,2,130,7,116,4,26,414,85,249,116,414
62FREEHOLD,47,2,29,0,3,48,25,0,112,3,100,4,9,366,78,188,100,366
62GLADE,103,0,111,3,6,117,92,5,295,4,307,5,24,843,214,518,307,843
62LIMESTONE,18,0,31,0,0,8,6,0,34,0,50,1,10,117,49,48,50,117
62MEAD,72,4,66,2,4,38,16,1,137,3,170,2,10,436,142,198,170,436
62PINEGROVE,155,4,108,8,9,155,104,3,269,24,417,11,48,995,267,548,417,995
62PITTSFIELD,47,1,49,0,3,61,33,2,121,4,140,3,10,411,97,220,140,411
62PLEASANT,127,8,116,5,5,108,82,6,257,6,378,5,34,820,251,463,378,820
62SHEFFIELD,103,5,104,3,1,46,30,1,180,7,256,8,23,592,212,261,256,592
62SOUTHWEST,11,0,6,0,0,13,11,1,56,1,33,0,1,163,17,81,33,163
62SPRINGCREEK,33,1,29,2,1,82,33,3,70,4,68,3,16,295,63,191,68,295
62SUGARGROVE,76,0,57,3,8,109,36,4,223,4,214,7,28,748,133,383,214,748
62TIDIOUTE,34,1,33,1,1,21,10,2,52,5,85,5,2,210,68,87,85,210
62TRIUMPH,15,0,12,0,1,18,4,2,33,1,30,0,7,95,27,58,30,95
62WARRENCENTRAL,74,0,54,4,1,29,36,1,71,4,195,4,22,243,128,142,195,243
62WARRENEAST,116,2,121,3,4,112,60,2,175,5,406,14,40,619,239,356,406,619
62WARRENNORTH,72,0,52,0,1,56,77,5,125,3,236,2,14,383,124,264,236,383
62WARRENSOUTH,38,1,24,2,1,30,19,1,55,1,91,2,12,181,63,108,91,181
62WARRENSOUTHEAST,117,3,121,5,5,73,45,6,157,5,332,16,31,575,241,291,332,575
62WARRENWEST,66,0,58,3,6,43,37,2,105,1,192,4,26,350,124,196,192,350
62WATSON,8,1,15,0,1,6,6,0,36,0,38,1,2,104,24,49,38,104
62YOUNGSVILLE,74,5,75,1,4,79,36,1,190,2,181,5,40,601,154,311,181,601
63ALLENPORT,77,2,32,1,0,4,4,0,32,1,93,1,5,126,111,41,93,126
63AMWELL1,142,6,126,3,4,89,53,1,258,7,332,12,18,943,274,408,332,943
63AMWELL2,71,2,46,0,1,32,15,3,98,1,129,4,12,393,119,149,129,393
63BEALLSVILLE,27,1,33,0,1,10,9,1,38,3,77,2,3,137,61,59,77,137
63BENTLEYVILLE,165,10,137,0,1,50,22,0,127,2,355,2,28,601,312,200,355,601
63BLAINE,38,1,35,0,4,22,8,0,48,2,83,5,10,228,74,82,83,228
63BUFFALO,95,8,90,0,1,67,70,1,214,4,218,6,24,763,193,353,218,763
63BURGETTSTOWN,133,3,62,0,0,19,19,0,65,1,242,6,16,343,198,103,242,343
63CALIFORNIA1,50,3,45,1,1,5,4,0,12,4,158,9,13,108,98,23,158,108
63CALIFORNIA2,73,1,82,0,1,9,8,1,30,2,427,5,38,267,156,49,427,267
63CALIFORNIA3,55,2,51,0,1,17,5,0,60,0,110,2,13,205,108,83,110,205
63CALIFORNIA4,145,4,74,1,0,21,16,0,102,1,314,7,19,346,223,140,314,346
63CANONSBURG13,155,7,112,1,0,24,14,0,42,1,366,7,23,325,274,81,366,325
63CANONSBURG14,195,6,129,0,1,57,40,3,128,2,428,5,31,602,330,229,428,602
63CANONSBURG21,110,3,92,1,1,17,15,1,64,1,253,7,18,276,205,99,253,276
63CANONSBURG22,168,4,113,2,3,38,38,0,113,2,385,12,41,468,285,194,385,468
63CANONSBURG31,64,3,59,0,0,22,17,1,43,3,199,4,22,242,126,83,199,242
63CANONSBURG33,117,3,91,0,0,27,14,0,53,3,295,7,27,273,211,94,295,273
63CANTON1,81,1,57,0,0,8,8,0,44,9,164,1,6,204,139,60,164,204
63CANTON2,212,7,107,0,2,54,37,1,179,4,418,5,34,663,326,273,418,663
63CANTON3,44,0,39,0,0,7,7,0,23,1,112,4,11,133,83,37,112,133
63CANTON4,129,4,104,0,0,37,18,2,133,5,285,5,16,495,237,190,285,495
63CANTON5,172,4,109,1,4,45,28,1,126,4,343,8,27,580,285,205,343,580
63CARROLL1,41,3,33,0,0,15,5,0,17,1,70,3,7,105,77,37,70,105
63CARROLL2,98,1,84,0,0,26,21,0,107,1,183,3,9,419,183,154,183,419
63CARROLL3,132,4,77,0,3,14,8,0,75,2,235,1,10,318,213,100,235,318
63CARROLL4,158,6,111,1,2,58,33,2,159,1,320,3,20,602,275,255,320,602
63CARROLL5,128,9,86,0,0,34,25,0,111,0,243,3,13,407,223,170,243,407
63CECIL1,137,0,83,1,1,62,71,5,165,4,431,6,51,735,220,305,431,735
63CECIL2,98,7,80,0,1,58,37,1,125,2,253,1,15,499,185,222,253,499
63CECIL3,73,0,67,0,1,35,27,2,94,1,187,4,20,393,140,159,187,393
63CECIL4,210,5,153,1,3,80,54,1,198,0,421,11,30,770,368,337,421,770
63CECIL5,295,5,127,1,6,93,113,2,388,7,734,17,40,1383,427,603,734,1383
63CECIL6,162,2,91,0,0,47,74,0,145,3,365,3,21,546,255,266,365,546
63CENTERVILLE1,29,3,41,0,0,13,10,0,48,2,78,0,7,186,73,71,78,186
63CENTERVILLE2,105,1,68,1,0,14,25,1,65,1,182,6,7,258,174,106,182,258
63CENTERVILLE3,33,1,16,0,0,2,0,0,13,0,69,1,1,54,50,15,69,54
63CENTERVILLE4,103,4,49,0,1,12,6,0,51,3,173,3,5,221,156,70,173,221
63CENTERVILLE5,12,1,12,0,0,6,2,0,9,0,40,1,0,52,25,17,40,52
63CENTERVILLE6,68,1,45,0,0,7,7,0,20,1,115,3,3,123,114,34,115,123
63CHARLEROI2,76,1,69,1,2,14,10,0,63,2,158,6,12,244,146,90,158,244
63CHARLEROI3,73,2,67,0,0,10,2,0,47,3,154,2,12,176,142,59,154,176
63CHARLEROI4,81,3,47,0,2,5,1,1,27,3,127,16,13,121,131,36,127,121
63CHARLEROI6,59,4,44,1,1,6,4,0,31,1,113,1,12,157,107,43,113,157
63CHARTIERS1,28,3,24,1,0,20,9,0,47,1,71,2,4,183,55,77,71,183
63CHARTIERS2,115,2,75,0,1,33,28,0,80,2,256,7,28,347,192,142,256,347
63CHARTIERS3,157,1,96,1,2,54,47,3,131,4,320,7,22,528,254,238,320,528
63CHARTIERS5,54,1,51,0,0,18,16,3,71,2,143,1,10,288,106,108,143,288
63CHARTIERS6,116,1,76,0,0,37,25,2,119,0,259,7,18,433,193,183,259,433
63CHARTIERS7,193,5,127,0,3,54,51,1,184,4,406,4,31,684,325,293,406,684
63CLAYSVILLE,30,3,43,1,0,20,16,0,44,2,85,5,12,199,76,81,85,199
63COALCENTER,15,0,14,1,0,1,0,0,3,0,33,0,3,15,29,5,33,15
63COKEBURG,76,6,25,0,0,9,3,0,22,0,106,1,8,125,107,34,106,125
63CROSSCREEK1,36,2,39,0,0,29,7,0,27,1,87,3,9,141,77,63,87,141
63CROSSCREEK2,36,2,35,0,0,3,0,0,26,2,80,0,7,134,73,29,80,134
63CROSSCREEK3,19,1,28,0,0,28,8,0,62,1,56,1,7,212,48,98,56,212
63DEEMSTON,45,2,50,0,0,18,10,1,70,4,106,3,8,259,97,99,106,259
63DONEGAL1,53,4,61,2,0,74,30,1,165,4,147,4,14,620,118,272,147,620
63DONEGAL2,16,1,17,0,0,9,14,0,60,1,33,4,6,182,34,83,33,182
63DONEGAL3,13,0,8,0,0,9,2,1,14,0,40,2,4,61,21,26,40,61
63DONORA1,52,0,33,0,0,3,7,1,37,1,118,1,5,151,85,48,118,151
63DONORA2,102,4,58,0,0,12,2,0,29,0,223,6,9,175,164,43,223,175
63DONORA4,129,2,61,0,0,8,3,1,50,2,232,3,6,224,192,62,232,224
63DONORA5,130,1,57,1,0,12,8,0,41,2,223,7,6,148,188,62,223,148
63DONORA7,69,3,26,0,0,14,1,0,26,0,132,3,10,139,98,41,132,139
63DUNLEVY,50,2,35,0,0,7,6,1,20,0,80,1,6,100,87,34,80,100
63EASTBETHLEHEM1,58,2,59,0,0,7,1,0,27,0,101,3,8,150,119,35,101,150
63EASTBETHLEHEM2,57,4,44,0,0,13,3,0,38,1,114,1,3,195,105,54,114,195
63EASTBETHLEHEM3,44,4,31,0,0,2,3,1,17,0,81,1,3,96,79,23,81,96
63EASTBETHLEHEM4,68,3,40,0,0,1,2,0,40,0,97,2,4,151,111,43,97,151
63EASTFINLEY,26,2,33,1,0,43,21,1,96,3,78,3,11,409,61,162,78,409
63EASTWASHINGTON,173,4,109,2,1,34,57,3,140,3,456,8,27,455,286,237,456,455
63ELCO,21,0,11,0,0,5,0,0,26,3,27,3,4,78,32,31,27,78
63ELLSWORTH,61,4,68,0,0,10,3,0,32,6,130,2,6,212,133,45,130,212
63FALLOWFIELD1,161,11,123,0,0,32,23,1,151,0,284,4,11,555,295,207,284,555
63FALLOWFIELD2A(CONG9),0,0,0,0,1,16,6,1,60,0,74,1,4,208,0,84,74,208
63FALLOWFIELD2B(CONG18),45,2,28,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
63FALLOWFIELD3,128,2,74,0,1,21,14,0,88,0,201,6,7,330,204,124,201,330
63FALLOWFIELD4,78,4,71,0,0,39,19,1,113,1,147,6,15,418,153,172,147,418
63FINLEYVILLE,28,0,14,0,0,9,5,0,33,1,65,2,3,100,42,47,65,100
63GREENHILLS,0,0,1,0,0,0,2,0,6,0,0,0,0,11,1,8,0,11
63HANOVER1,71,1,74,1,0,54,33,0,144,3,168,5,7,491,146,232,168,491
63HANOVER2,53,3,60,1,2,24,12,0,101,1,143,3,15,408,116,140,143,408
63HOPEWELL,56,4,52,1,1,53,25,0,91,3,104,0,12,356,112,171,104,356
63HOUSTON,97,4,65,0,1,31,19,0,81,2,215,6,23,334,166,132,215,334
63INDEPENDENCE1,39,5,33,0,0,34,24,1,81,0,82,2,15,316,77,140,82,316
63INDEPENDENCE2,63,4,43,1,0,13,6,0,44,1,107,7,12,230,110,64,107,230
63JEFFERSON,87,2,54,0,2,29,25,0,96,0,159,5,9,400,143,152,159,400
63LONGBRANCH,49,0,37,0,0,5,10,0,43,0,81,2,8,159,86,58,81,159
63MARIANNA,42,0,23,0,0,2,2,0,21,0,78,3,3,90,65,25,78,90
63MCDONALD,93,4,95,2,4,44,33,0,93,4,266,15,25,386,192,176,266,386
63MIDWAY,81,1,52,0,0,19,8,0,44,3,142,3,21,236,134,71,142,236
63MONONGAHELA1,78,1,62,0,0,14,7,0,57,2,144,3,13,235,141,78,144,235
63MONONGAHELA21,65,1,56,0,1,20,5,0,41,2,147,2,17,184,122,67,147,184
63MONONGAHELA23,87,0,43,1,0,11,5,0,54,1,133,3,10,212,130,71,133,212
63MONONGAHELA31,58,0,39,0,0,10,8,0,29,1,116,0,8,110,97,47,116,110
63MONONGAHELA32,136,4,76,0,1,24,12,1,90,1,245,2,15,310,216,128,245,310
63MORRIS,34,0,46,1,3,55,22,0,116,3,105,4,17,373,80,197,105,373
63MT.PLEASANT1,178,12,151,1,1,86,84,4,246,2,376,5,33,863,341,422,376,863
63MT.PLEASANT2,48,3,29,0,0,21,12,1,51,2,103,1,4,196,80,85,103,196
63MT.PLEASANT3,26,0,26,0,0,11,13,1,25,0,66,0,5,89,52,50,66,89
63MT.PLEASANT4,20,1,14,0,0,7,2,0,24,1,33,3,4,85,35,33,33,85
63NEWEAGLE1,117,8,106,1,4,18,11,0,56,2,184,8,12,287,231,90,184,287
63NEWEAGLE2,88,3,51,0,3,22,17,0,89,1,141,1,17,305,142,131,141,305
63NORTHBETHLEHEM,126,6,99,2,2,39,34,1,147,5,247,9,25,494,231,225,247,494
63NORTHCHARLEROI,113,8,75,0,0,19,4,1,62,3,222,5,8,279,196,86,222,279
63NORTHFRANKLIN1,185,7,111,1,4,64,63,2,162,3,383,14,24,635,303,296,383,635
63NORTHFRANKLIN2,91,2,74,1,1,37,24,2,82,1,208,6,13,316,167,147,208,316
63NORTHFRANKLIN3,112,4,85,3,1,31,26,2,126,3,303,4,22,391,201,189,303,391
63NORTHSTRABANE1,236,6,184,1,2,135,145,3,383,6,646,12,54,1279,426,669,646,1279
63NORTHSTRABANE2,106,5,89,0,3,50,41,1,158,2,249,2,17,498,200,253,249,498
63NORTHSTRABANE3,81,0,58,0,0,16,10,0,42,4,179,4,8,188,139,68,179,188
63NORTHSTRABANE4,172,1,103,0,1,56,68,0,192,2,446,7,34,677,276,317,446,677
63NORTHSTRABANE5,259,6,148,1,0,79,82,4,251,3,636,3,35,933,413,417,636,933
63NORTHSTRABANE6,233,8,154,1,1,125,134,1,326,4,735,8,42,1155,395,588,735,1155
63NOTTINGHAM1,141,9,115,0,2,70,56,0,189,2,306,7,32,691,265,317,306,691
63NOTTINGHAM2,98,4,74,1,0,67,57,0,183,1,231,4,14,532,176,308,231,532
63PETERSA1,82,1,46,0,1,56,83,2,156,13,233,2,11,419,129,298,233,419
63PETERSA2,128,1,77,1,0,73,82,0,179,1,332,6,27,595,206,335,332,595
63PETERSA3,163,4,87,0,0,99,145,2,256,7,476,1,34,813,254,502,476,813
63PETERSB1,99,1,66,1,0,73,105,5,198,2,305,5,21,616,166,382,305,616
63PETERSB2,110,0,79,1,2,93,110,2,282,7,363,4,29,930,189,490,363,930
63PETERSB3,134,3,79,1,1,77,123,1,282,2,446,8,48,927,216,485,446,927
63PETERSC1,94,2,71,1,0,77,89,2,210,1,326,2,26,654,167,379,326,654
63PETERSC2,126,3,56,0,1,81,82,1,175,8,317,1,16,533,185,340,317,533
63PETERSC3,98,1,78,0,0,86,83,1,230,2,335,2,19,659,177,400,335,659
63PETERSD1,124,0,82,3,1,107,147,6,330,6,454,5,40,1098,206,594,454,1098
63PETERSD2,121,1,87,2,3,80,114,2,234,5,385,3,25,741,209,435,385,741
63PETERSD3,68,1,35,1,1,52,89,2,163,1,247,3,18,478,104,308,247,478
63ROBINSON1,29,1,36,0,0,11,13,0,42,1,75,3,13,156,66,66,75,156
63ROBINSON2,38,4,41,0,0,5,9,0,42,0,76,0,9,164,83,56,76,164
