state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
GA,Ware,8311.0,4034.0,3802.0,2276.0,0.625534715366897,0.6732280275415148,6078.0,12345.0
GA,Warren,1087.0,1554.0,528.0,846.0,0.38427947598253276,0.4115865202574782,1374.0,2641.0
GA,Washington,4216.0,4607.0,1633.0,2648.0,0.38145293155804716,0.47784200385356457,4281.0,8823.0
GA,Wayne,7601.0,2858.0,3169.0,1981.0,0.6153398058252427,0.7267425184052012,5150.0,10459.0
GA,Webster,588.0,515.0,241.0,348.0,0.4091680814940577,0.5330915684496826,589.0,1103.0
GA,Wheeler,1408.0,794.0,365.0,464.0,0.44028950542822676,0.6394187102633969,829.0,2202.0
GA,White,8467.0,2174.0,4215.0,1792.0,0.7016813717329782,0.7956958932431163,6007.0,10641.0
GA,Whitfield,19230.0,8167.0,8781.0,5265.0,0.6251601879538659,0.7019016680658466,14046.0,27397.0
GA,Wilcox,2159.0,978.0,727.0,591.0,0.5515933232169955,0.6882371692700032,1318.0,3137.0
GA,Wilkes,2705.0,2315.0,1068.0,1324.0,0.44648829431438125,0.5388446215139442,2392.0,5020.0
GA,Wilkinson,2349.0,2298.0,1016.0,1558.0,0.3947163947163947,0.5054874112330536,2574.0,4647.0
GA,Worth,5780.0,2542.0,2335.0,1718.0,0.5761164569454725,0.6945445806296563,4053.0,8322.0
ID,Ada,93328.0,82236.0,24534.0,11055.0,0.6893703110511675,0.53158961973981,35589.0,175564.0
ID,Adams,1517.0,728.0,1028.0,163.0,0.8631402183039463,0.6757238307349666,1191.0,2245.0
ID,Bannock,19356.0,14792.0,2607.0,3642.0,0.4171867498799808,0.5668267541290851,6249.0,34148.0
ID,Bear Lake,2377.0,502.0,1292.0,164.0,0.8873626373626373,0.8256339006599513,1456.0,2879.0
ID,Benewah,2646.0,1407.0,571.0,510.0,0.5282146160962072,0.6528497409326425,1081.0,4053.0
ID,Bingham,12230.0,4424.0,4950.0,798.0,0.8611691022964509,0.7343581121652456,5748.0,16654.0
ID,Blaine,3439.0,6947.0,759.0,1519.0,0.33318700614574187,0.33111881378779123,2278.0,10386.0
ID,Boise,2433.0,1240.0,1453.0,232.0,0.8623145400593472,0.662401306833651,1685.0,3673.0
ID,Bonner,11145.0,7840.0,4377.0,1458.0,0.7501285347043701,0.5870424018962339,5835.0,18985.0
ID,Bonneville,29334.0,11417.0,5673.0,1304.0,0.8131001863265014,0.7198350960712621,6977.0,40751.0
ID,Boundary,3078.0,1484.0,1455.0,453.0,0.7625786163522013,0.6747040771591407,1908.0,4562.0
ID,Butte,1056.0,318.0,764.0,100.0,0.8842592592592593,0.7685589519650655,864.0,1374.0
ID,Camas,422.0,187.0,289.0,42.0,0.8731117824773413,0.6929392446633826,331.0,609.0
ID,Canyon,42752.0,20147.0,10937.0,2644.0,0.8053162506442825,0.679692840903671,13581.0,62899.0
ID,Caribou,2656.0,553.0,1853.0,125.0,0.9368048533872598,0.8276721720162045,1978.0,3209.0
ID,Cassia,6309.0,1332.0,2685.0,187.0,0.9348885793871866,0.8256772673733804,2872.0,7641.0
ID,Clark,305.0,64.0,226.0,15.0,0.9377593360995851,0.8265582655826558,241.0,369.0
ID,Clearwater,2569.0,1211.0,508.0,428.0,0.5427350427350427,0.6796296296296296,936.0,3780.0
ID,Custer,1694.0,611.0,873.0,209.0,0.8068391866913124,0.7349240780911063,1082.0,2305.0
ID,Elmore,5665.0,2591.0,1582.0,540.0,0.7455230914231856,0.6861676356589147,2122.0,8256.0
ID,Franklin,4246.0,600.0,1893.0,90.0,0.9546142208774584,0.8761865456046224,1983.0,4846.0
ID,Fremont,4700.0,1065.0,2714.0,185.0,0.936184891341842,0.8152645273200347,2899.0,5765.0
ID,Gem,5585.0,2166.0,2559.0,404.0,0.8636517043536955,0.7205521868146045,2963.0,7751.0
ID,Gooding,3765.0,1489.0,1649.0,347.0,0.8261523046092184,0.7165968785687096,1996.0,5254.0
ID,Idaho,5895.0,2017.0,2645.0,726.0,0.784633639869475,0.7450707785642062,3371.0,7912.0
ID,Jefferson,8540.0,1641.0,1622.0,206.0,0.887308533916849,0.8388174049700422,1828.0,10181.0
ID,Jerome,4897.0,1794.0,1945.0,284.0,0.8725886047554957,0.7318786429532207,2229.0,6691.0
ID,Kootenai,38387.0,22120.0,9415.0,3560.0,0.725626204238921,0.6344224635166179,12975.0,60507.0
ID,Latah,7988.0,9195.0,1048.0,1110.0,0.4856348470806302,0.46487807716929525,2158.0,17183.0
